| Hauteur à l'appui [mm $\pm$ 0.005] | Tension signal C-C [mV $\pm$ 8] |
| ---------------------------------- | ------------------------------- |
| 0.000                              | 23                              |
| 0.250                              | 56                              |
| 0.500                              | 70                              |
| 0.750                              | 110                             |
| 1.000                              | 132                             |
| 1.250                              | 172                             |
| 1.500                              | 216                             |
| 1.750                              | 230                             |
| 2.000                              | 260                             |
| 2.250                              | 292                             |
| 2.500                              | 314                             |
| 2.750                              | 342                             |
| 3.000                              | 380                             |
